1,10,6,4,[5, 5, 3, 4, 3, 3],[7, 7, 8, 1]
2,10,6,4,[3, 5, 2, 3, 3, 2],[1, 6, 1, 7]
3,10,6,4,[4, 3, 5, 3, 4, 4],[6, 1, 7, 1]
4,10,6,4,[4, 3, 5, 3, 5, 4],[1, 2, 7, 6]
5,10,7,3,[5, 6, 4, 4, 6, 6, 5],[3, 2, 7]
6,10,7,3,[3, 5, 2, 3, 3, 3, 5],[8, 1, 8]
7,10,7,3,[6, 5, 6, 5, 7, 6, 6],[2, 8, 3]
8,10,5,5,[3, 4, 5, 4, 4],[6, 7, 1, 2, 6]
9,10,6,4,[5, 3, 5, 5, 5, 5],[1, 6, 6, 2]
10,10,8,2,[6, 5, 5, 5, 6, 6, 6, 6],[3, 3]
11,10,6,4,[3, 5, 3, 5, 3, 4],[1, 1, 7, 6]
12,10,5,5,[4, 5, 4, 5, 5],[6, 3, 6, 6, 2]
13,10,5,5,[3, 3, 5, 2, 3],[1, 6, 6, 6, 1]
14,10,6,4,[5, 5, 5, 5, 3, 5],[1, 1, 2, 6]
15,10,7,3,[5, 3, 3, 6, 5, 5, 5],[2, 1, 8]
16,10,7,3,[5, 5, 5, 5, 4, 5, 4],[3, 6, 6]
17,10,6,4,[5, 4, 4, 3, 3, 3],[2, 1, 6, 6]
18,10,6,4,[6, 4, 3, 5, 4, 3],[1, 1, 8, 7]
19,10,6,4,[5, 5, 6, 6, 5, 6],[3, 3, 3, 9]
20,10,7,3,[4, 5, 5, 4, 4, 5, 4],[6, 6, 3]
21,10,6,4,[3, 3, 3, 2, 4, 2],[6, 6, 6, 1]
22,10,6,4,[5, 6, 6, 4, 5, 5],[7, 7, 2, 3]
23,10,8,2,[3, 3, 3, 5, 5, 5, 5, 5],[6, 2]
24,10,7,3,[5, 3, 3, 5, 5, 5, 3],[6, 2, 2]
25,10,4,6,[5, 6, 5, 6],[3, 7, 3, 1, 7, 7]
26,10,5,5,[4, 5, 3, 3, 3],[6, 2, 6, 1, 6]
28,10,5,5,[4, 5, 4, 5, 5],[3, 6, 3, 7, 3]
29,10,7,3,[5, 3, 4, 4, 5, 3, 4],[6, 2, 7]
30,10,6,4,[6, 6, 6, 6, 6, 6],[7, 5, 5, 7]
31,10,5,5,[6, 4, 5, 4, 4],[7, 3, 7, 7, 3]
32,10,4,6,[6, 6, 5, 5],[7, 7, 3, 7, 2, 2]
33,10,5,5,[4, 5, 5, 4, 4],[6, 3, 6, 6, 6]
34,10,7,3,[4, 2, 3, 3, 3, 3, 4],[7, 6, 1]
35,10,7,3,[6, 6, 4, 5, 7, 4, 6],[3, 3, 9]
36,10,7,3,[5, 2, 5, 4, 3, 5, 4],[8, 1, 1]
37,10,7,3,[4, 4, 4, 5, 4, 4, 5],[6, 1, 6]
38,10,6,4,[7, 7, 7, 6, 6, 7],[2, 4, 8, 4]
39,10,8,2,[6, 6, 6, 3, 5, 3, 3, 5],[1, 7]
40,10,8,2,[5, 5, 3, 4, 3, 6, 5, 6],[1, 7]
41,10,7,3,[5, 5, 6, 5, 5, 5, 6],[7, 7, 3]
42,10,7,3,[5, 5, 5, 3, 5, 3, 3],[1, 1, 6]
44,10,7,3,[3, 5, 5, 3, 4, 4, 5],[2, 7, 6]
45,10,8,2,[3, 5, 6, 4, 6, 3, 4, 6],[7, 1]
46,10,8,2,[6, 6, 5, 6, 6, 6, 6, 6],[3, 7]
47,10,6,4,[6, 5, 5, 6, 6, 4],[3, 7, 3, 3]
48,10,8,2,[5, 2, 5, 2, 5, 4, 2, 3],[1, 8]
49,10,6,4,[5, 5, 5, 3, 3, 5],[2, 1, 6, 6]
50,10,8,2,[5, 3, 4, 3, 4, 5, 3, 3],[7, 6]
51,10,8,2,[6, 6, 6, 5, 6, 4, 4, 6],[3, 3]
52,10,6,4,[6, 5, 6, 5, 6, 6],[2, 7, 3, 3]
53,10,4,6,[5, 6, 6, 6],[3, 3, 3, 7, 7, 3]
54,10,6,4,[5, 5, 4, 4, 5, 4],[2, 2, 6, 1]
55,10,6,4,[3, 5, 3, 3, 3, 4],[6, 6, 2, 2]
56,10,6,4,[5, 5, 5, 5, 5, 6],[2, 3, 7, 3]
57,10,6,4,[3, 4, 5, 5, 4, 3],[1, 2, 6, 6]
58,10,5,5,[3, 5, 5, 3, 4],[2, 6, 2, 6, 6]
59,10,5,5,[5, 5, 5, 4, 5],[3, 2, 3, 6, 6]
60,10,5,5,[5, 5, 3, 5, 6],[8, 2, 2, 7, 2]
61,10,7,3,[7, 7, 6, 7, 6, 5, 7],[3, 3, 3]
62,10,5,5,[5, 2, 5, 3, 3],[7, 6, 6, 1, 1]
63,10,8,2,[5, 3, 4, 5, 4, 4, 3, 3],[6, 2]
64,10,6,4,[6, 6, 5, 3, 6, 6],[7, 7, 1, 1]
65,10,9,1,[6, 6, 7, 7, 7, 7, 7, 6, 6],[1]
66,10,7,3,[5, 7, 7, 6, 6, 6, 7],[2, 8, 8]
67,10,7,3,[5, 5, 6, 6, 4, 4, 6],[3, 7, 3]
68,10,6,4,[4, 5, 4, 6, 4, 6],[7, 7, 1, 2]
69,10,7,3,[5, 6, 6, 6, 6, 5, 5],[7, 4, 4]
70,10,5,5,[7, 6, 6, 8, 7],[9, 3, 3, 3, 9]
71,10,6,4,[5, 5, 5, 3, 3, 4],[1, 6, 6, 6]
72,10,7,3,[3, 3, 5, 4, 3, 6, 5],[1, 1, 9]
