1,10,6,4,[3, 3, 4, 3, 3, 4],[5, 2, 5, 5]
2,10,8,2,[3, 3, 4, 3, 5, 3, 4, 5],[1, 6]
3,10,8,2,[3, 3, 3, 3, 4, 3, 3, 4],[5, 5]
4,10,8,2,[5, 5, 6, 5, 5, 5, 5, 5],[9, 7]
5,10,8,2,[6, 6, 7, 6, 6, 7, 7, 6],[5, 8]
6,10,7,3,[8, 6, 7, 7, 8, 7, 8],[9, 4, 5]
7,10,8,2,[6, 8, 7, 6, 8, 7, 7, 8],[4, 9]
8,10,6,4,[6, 6, 6, 6, 6, 6],[7, 7, 7, 7]
9,10,8,2,[7, 6, 7, 7, 7, 7, 6, 7],[5, 5]
10,10,9,1,[7, 6, 7, 6, 6, 6, 6, 6, 7],[3]
11,10,8,2,[5, 5, 5, 6, 6, 6, 6, 5],[3, 7]
12,10,7,3,[5, 6, 5, 6, 5, 5, 5],[7, 3, 4]
13,10,8,2,[3, 5, 5, 4, 5, 5, 3, 5],[7, 1]
14,10,5,5,[6, 6, 6, 6, 6],[5, 5, 5, 7, 7]
15,10,8,2,[4, 4, 6, 6, 6, 5, 5, 5],[1, 7]
16,10,4,6,[6, 6, 6, 6],[7, 7, 5, 5, 5, 7]
17,10,6,4,[6, 6, 5, 5, 6, 6],[4, 7, 4, 4]
18,10,5,5,[7, 7, 7, 7, 7],[8, 6, 5, 8, 8]
19,10,8,2,[7, 7, 6, 7, 7, 7, 7, 7],[9, 5]
20,10,5,5,[6, 6, 6, 6, 6],[4, 7, 7, 7, 5]
21,10,8,2,[6, 5, 5, 5, 5, 5, 5, 6],[7, 7]
22,10,5,5,[6, 6, 6, 6, 6],[7, 5, 7, 5, 7]
23,10,7,3,[7, 6, 7, 7, 7, 6, 7],[5, 8, 8]
24,10,6,4,[5, 4, 5, 5, 5, 5],[3, 3, 3, 6]
25,10,7,3,[4, 3, 3, 4, 4, 3, 3],[5, 1, 5]
26,10,8,2,[6, 6, 7, 7, 7, 7, 7, 6],[5, 8]
28,10,7,3,[5, 4, 4, 4, 4, 5, 4],[7, 6, 3]
29,10,5,5,[6, 6, 5, 4, 4],[7, 3, 3, 7, 3]
30,10,8,2,[6, 7, 7, 6, 6, 6, 6, 7],[8, 8]
31,10,6,4,[7, 7, 7, 7, 7, 7],[6, 6, 6, 6]
32,10,9,1,[8, 7, 6, 6, 8, 7, 6, 6, 7],[9]
33,10,9,1,[7, 6, 6, 7, 7, 7, 6, 6, 6],[2]
34,10,8,2,[7, 6, 5, 6, 5, 7, 7, 7],[8, 1]
35,10,7,3,[7, 4, 6, 5, 4, 6, 6],[3, 3, 9]
36,10,9,1,[7, 6, 6, 5, 5, 5, 7, 5, 5],[9]
37,10,8,2,[7, 6, 7, 5, 5, 7, 5, 6],[1, 3]
38,10,9,1,[7, 7, 7, 7, 6, 6, 7, 7, 6],[4]
39,10,5,5,[5, 6, 5, 6, 5],[7, 4, 4, 4, 7]
40,10,8,2,[5, 3, 5, 5, 4, 3, 5, 4],[1, 2]
41,10,8,2,[4, 5, 4, 4, 4, 5, 3, 4],[9, 2]
42,10,8,2,[8, 6, 7, 6, 5, 7, 7, 6],[1, 9]
44,10,8,2,[7, 6, 7, 6, 6, 7, 6, 7],[9, 5]
45,10,9,1,[6, 5, 7, 7, 7, 5, 6, 7, 6],[3]
46,10,9,1,[7, 7, 5, 5, 7, 6, 5, 7, 7],[3]
47,10,8,2,[6, 6, 7, 7, 6, 7, 6, 6],[3, 3]
48,10,7,3,[6, 6, 6, 5, 5, 5, 5],[7, 4, 7]
49,10,6,4,[5, 5, 6, 5, 6, 5],[7, 2, 7, 3]
50,10,9,1,[6, 7, 6, 7, 7, 5, 5, 7, 6],[4]
51,10,2,8,[6, 6],[5, 7, 7, 7, 7, 5, 5, 5]
52,10,6,4,[5, 5, 6, 6, 6, 6],[7, 7, 4, 7]
53,10,8,2,[3, 4, 3, 4, 3, 3, 3, 4],[7, 7]
54,10,6,4,[3, 2, 3, 3, 2, 2],[4, 4, 4, 1]
55,10,6,4,[4, 5, 5, 4, 5, 4],[3, 6, 3, 3]
56,10,7,3,[6, 6, 6, 4, 5, 4, 5],[7, 1, 7]
57,10,8,2,[5, 4, 5, 5, 5, 5, 4, 4],[1, 6]
58,10,8,2,[6, 7, 5, 7, 6, 7, 6, 7],[2, 4]
59,10,8,2,[5, 5, 4, 4, 5, 5, 4, 5],[8, 8]
60,10,6,4,[4, 5, 4, 4, 4, 5],[3, 3, 7, 3]
61,10,7,3,[5, 3, 5, 4, 3, 4, 5],[2, 7, 7]
62,10,9,1,[6, 7, 7, 7, 7, 4, 6, 5, 5],[1]
63,10,8,2,[5, 6, 6, 5, 6, 6, 6, 5],[4, 4]
64,10,8,2,[4, 3, 3, 3, 4, 4, 3, 3],[5, 1]
65,10,6,4,[6, 6, 7, 7, 6, 6],[8, 5, 8, 5]
66,10,8,2,[5, 6, 6, 7, 7, 7, 7, 8],[2, 9]
67,10,9,1,[6, 7, 6, 6, 7, 7, 7, 7, 7],[4]
68,10,7,3,[3, 3, 3, 3, 3, 3, 3],[4, 4, 4]
69,10,9,1,[4, 3, 4, 3, 3, 3, 4, 4, 3],[8]
70,10,7,3,[3, 3, 2, 3, 3, 2, 3],[4, 4, 1]
71,10,7,3,[4, 5, 3, 4, 5, 4, 4],[6, 1, 6]
72,10,7,3,[6, 6, 5, 6, 5, 7, 6],[8, 1, 9]
73,10,8,2,[6, 5, 5, 6, 6, 5, 5, 5],[7, 1]
74,10,7,3,[6, 6, 6, 6, 6, 7, 7],[5, 5, 8]
75,10,8,2,[5, 6, 5, 5, 5, 6, 5, 5],[4, 9]
76,10,9,1,[5, 7, 4, 7, 6, 6, 7, 6, 7],[1]
77,10,6,4,[5, 6, 6, 5, 6, 5],[7, 4, 7, 4]
78,10,7,3,[6, 5, 6, 6, 5, 6, 6],[4, 7, 4]
79,10,5,5,[6, 6, 6, 6, 6],[7, 5, 5, 5, 5]
80,10,7,3,[6, 4, 5, 5, 7, 6, 6],[3, 1, 8]
81,10,8,2,[5, 6, 5, 5, 6, 6, 4, 5],[1, 7]
82,10,9,1,[6, 7, 6, 7, 7, 7, 6, 7, 7],[3]
83,10,9,1,[6, 6, 7, 5, 5, 7, 6, 5, 5],[8]
84,10,2,8,[7, 7],[8, 8, 6, 6, 6, 8, 8, 6]
86,10,6,4,[3, 3, 3, 3, 3, 4],[5, 1, 2, 5]
87,10,7,3,[3, 3, 3, 3, 3, 3, 3],[2, 4, 5]
88,10,9,1,[7, 6, 7, 6, 6, 5, 7, 6, 7],[3]
89,10,8,2,[3, 4, 4, 3, 3, 3, 3, 4],[5, 5]
90,10,8,2,[7, 6, 7, 6, 6, 6, 5, 7],[3, 8]
91,10,7,3,[6, 5, 6, 5, 5, 6, 5],[7, 7, 3]
92,10,6,4,[7, 7, 7, 7, 7, 7],[6, 6, 6, 6]
93,10,4,6,[6, 6, 6, 6],[7, 5, 5, 7, 7, 7]
94,10,6,4,[7, 6, 6, 6, 7, 7],[5, 8, 5, 5]
95,10,7,3,[7, 7, 7, 7, 7, 7, 7],[6, 6, 6]
96,10,7,3,[7, 7, 7, 6, 7, 7, 7],[4, 4, 4]
97,10,6,4,[7, 7, 7, 7, 7, 7],[6, 6, 9, 6]
98,10,5,5,[6, 6, 6, 6, 6],[7, 5, 7, 4, 7]
99,10,8,2,[7, 7, 7, 6, 7, 6, 6, 7],[9, 1]
100,10,7,3,[3, 3, 3, 4, 3, 3, 3],[5, 7, 2]
101,10,8,2,[3, 4, 4, 5, 5, 5, 3, 5],[7, 1]
102,10,6,4,[3, 5, 5, 5, 4, 4],[7, 1, 2, 2]
103,10,7,3,[5, 5, 5, 4, 4, 4, 5],[7, 3, 3]
104,10,8,2,[6, 6, 7, 6, 6, 7, 7, 7],[4, 5]
105,10,8,2,[6, 7, 6, 7, 7, 7, 6, 7],[4, 5]
106,10,8,2,[6, 6, 7, 7, 7, 5, 7, 7],[9, 3]
107,10,7,3,[7, 7, 6, 7, 7, 6, 6],[8, 1, 3]
108,10,6,4,[7, 8, 7, 6, 8, 7],[9, 9, 3, 3]
109,10,8,2,[7, 7, 5, 5, 6, 5, 5, 5],[9, 4]
110,10,3,7,[4, 4, 4],[5, 3, 5, 3, 5, 5, 3]
111,10,7,3,[4, 4, 4, 4, 4, 4, 4],[1, 5, 5]
112,10,8,2,[5, 5, 5, 5, 5, 5, 5, 5],[4, 4]
113,10,7,3,[5, 5, 7, 5, 5, 5, 5],[2, 9, 8]
114,10,7,3,[7, 7, 7, 7, 7, 6, 6],[5, 8, 8]
115,10,6,4,[6, 6, 6, 6, 6, 6],[7, 7, 7, 7]
116,10,8,2,[7, 6, 6, 7, 6, 7, 6, 6],[8, 8]
118,10,8,2,[7, 7, 5, 7, 6, 6, 7, 7],[8, 3]
119,10,9,1,[7, 7, 6, 5, 6, 5, 7, 7, 7],[3]
120,10,7,3,[7, 6, 6, 6, 7, 6, 6],[5, 5, 9]
121,10,8,2,[8, 6, 6, 8, 7, 7, 7, 7],[1, 1]
122,10,5,5,[7, 7, 7, 7, 7],[8, 6, 6, 6, 6]
123,10,8,2,[7, 6, 7, 7, 7, 7, 6, 7],[9, 5]
125,10,8,2,[7, 6, 6, 7, 6, 7, 5, 5],[3, 8]
126,10,6,4,[7, 7, 7, 7, 7, 7],[6, 6, 9, 9]
127,10,8,2,[6, 6, 4, 6, 6, 5, 7, 6],[8, 1]
128,10,6,4,[7, 7, 7, 7, 7, 7],[9, 6, 8, 6]
129,10,6,4,[4, 3, 4, 4, 4, 4],[6, 2, 6, 7]
130,10,7,3,[5, 5, 5, 5, 5, 5, 5],[6, 2, 3]
131,10,8,2,[5, 5, 5, 5, 4, 4, 5, 5],[3, 3]
132,10,8,2,[3, 5, 4, 3, 5, 3, 3, 3],[6, 6]
133,10,8,2,[7, 5, 6, 7, 6, 7, 7, 6],[4, 4]
134,10,5,5,[5, 5, 5, 6, 5],[7, 7, 1, 2, 7]
135,10,6,4,[3, 2, 3, 2, 5, 3],[7, 8, 7, 1]
136,10,6,4,[3, 3, 3, 3, 3, 3],[4, 2, 4, 1]
137,10,7,3,[6, 7, 7, 6, 7, 6, 6],[4, 9, 5]
